Algorithm,Num_Agents,Trial_ID,Success (1/0),Runtime (s),Nodes_Expanded,Cost
CBS,8,5,1,0.0941,207,54
CBS,8,6,1,0.0141,61,48
CBS,8,7,1,1.8238,3401,65
CBS,8,8,0,180.0067,220163,-1
CBS,8,9,1,2.5510,3726,51
CBS,8,10,0,180.0087,240752,-1
CBS,8,11,1,0.4731,676,46
CBS,8,12,1,0.0000,14,43
CBS,8,13,1,3.8614,17708,49
CBS,8,14,1,0.0000,7,54
CBS,8,15,0,180.0023,316182,-1
CBS,8,16,0,180.0090,456052,-1
CBS,8,17,0,180.0058,445071,-1
CBS,8,18,1,0.2779,1017,56
CBS,8,19,1,74.0873,123301,68
CBS,8,20,1,0.0286,24,47
CBS,9,1,1,1.7337,4361,75
CBS,9,2,0,180.0008,355707,-1
CBS,9,3,1,0.0931,227,62
CBS,9,4,1,14.9303,33290,57
CBS,9,5,0,285.2632,111332,-1
CBS,9,6,1,69.1721,112156,78
CBS,9,7,1,0.8233,2545,64
CBS,9,8,1,0.0377,48,51
CBS,9,9,1,1.7242,4389,82
CBS,9,10,1,0.6336,1877,63
CBS,9,11,0,180.0007,363480,-1
CBS,9,12,0,180.0005,311253,-1
CBS,9,13,1,0.6954,1981,50
CBS,9,14,1,2.8007,4530,73
CBS,9,15,0,180.0052,333267,-1
CBS,9,16,0,180.0025,148145,-1
CBS,9,17,1,0.0200,79,58
CBS,9,18,1,28.3301,69312,68
CBS,9,19,1,0.1200,297,56
CBS,9,20,1,8.3100,15264,80
CBS,10,1,1,0.9200,1750,64
CBS,10,2,1,0.1800,366,51
CBS,10,3,0,180.0056,336477,-1
CBS,10,4,1,0.0200,83,62
CBS,10,5,0,180.0072,300594,-1
CBS,10,6,0,180.0050,277056,-1
CBS,10,7,0,180.0003,288860,-1
CBS,10,8,1,5.0653,18629,77
CBS,10,9,0,180.0022,410592,-1
CBS,10,10,0,180.0063,125436,-1
CBS,10,11,1,0.0000,20,77
CBS,10,12,1,1.5456,3632,58
CBS,10,13,0,180.0047,247044,-1
CBS,10,14,1,0.5700,1706,63
CBS,10,15,0,180.0033,389485,-1
CBS,10,16,0,180.0068,345165,-1
CBS,10,17,0,180.0039,344018,-1
CBS,10,18,1,30.4103,64195,86
CBS,10,19,0,180.0075,330146,-1
CBS,10,20,1,26.0719,74942,69
